,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
31,B1-REF,6,0,sortmerna,0.76:0.9:3:0.8:1.0,0.4971751412429379,0.0,0.4661016949152542,0.03672316384180791,"[0, 0, 0, 2, 12, 77, 87, 176]"
32,B1-REF,6,0,sortmerna,0.76:0.9:3:0.9:1.0,0.4971751412429379,0.0,0.4661016949152542,0.03672316384180791,"[0, 0, 0, 2, 12, 77, 87, 176]"
33,B1-REF,6,0,sortmerna,0.76:0.9:5:0.8:1.0,0.4943502824858757,0.0,0.423728813559322,0.08192090395480225,"[0, 0, 0, 2, 11, 73, 93, 175]"
34,B1-REF,6,0,sortmerna,0.76:0.9:5:0.9:1.0,0.4943502824858757,0.0,0.423728813559322,0.08192090395480225,"[0, 0, 0, 2, 11, 73, 93, 175]"
35,B1-REF,6,0,sortmerna,1.0:0.8:1:0.8:1.0,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 1, 4, 36, 56, 257]"
36,B1-REF,6,0,sortmerna,1.0:0.8:1:0.9:1.0,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 1, 4, 36, 56, 257]"
37,B1-REF,6,0,sortmerna,1.0:0.8:3:0.8:1.0,0.4774011299435028,0.0,0.4858757062146893,0.03672316384180791,"[0, 0, 1, 3, 13, 81, 87, 169]"
38,B1-REF,6,0,sortmerna,1.0:0.8:3:0.9:1.0,0.4774011299435028,0.0,0.4858757062146893,0.03672316384180791,"[0, 0, 1, 3, 13, 81, 87, 169]"
39,B1-REF,6,0,sortmerna,1.0:0.8:5:0.8:1.0,0.4463276836158192,0.0,0.5254237288135594,0.02824858757062147,"[0, 0, 2, 3, 14, 88, 89, 158]"
40,B1-REF,6,0,sortmerna,1.0:0.8:5:0.9:1.0,0.4463276836158192,0.0,0.5254237288135594,0.02824858757062147,"[0, 0, 2, 3, 14, 88, 89, 158]"
41,B1-REF,6,0,sortmerna,1.0:0.9:1:0.8:1.0,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 1, 4, 36, 56, 257]"
42,B1-REF,6,0,sortmerna,1.0:0.9:1:0.9:1.0,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 1, 4, 36, 56, 257]"
43,B1-REF,6,0,sortmerna,1.0:0.9:3:0.8:1.0,0.4971751412429379,0.0,0.4661016949152542,0.03672316384180791,"[0, 0, 0, 2, 12, 77, 87, 176]"
44,B1-REF,6,0,sortmerna,1.0:0.9:3:0.9:1.0,0.4971751412429379,0.0,0.4661016949152542,0.03672316384180791,"[0, 0, 0, 2, 12, 77, 87, 176]"
45,B1-REF,6,0,sortmerna,1.0:0.9:5:0.8:1.0,0.4661016949152542,0.0,0.5056497175141242,0.02824858757062147,"[0, 0, 0, 2, 12, 86, 89, 165]"
46,B1-REF,6,0,sortmerna,1.0:0.9:5:0.9:1.0,0.4661016949152542,0.0,0.5056497175141242,0.02824858757062147,"[0, 0, 0, 2, 12, 86, 89, 165]"
47,B1-REF,6,0,uclust,0.51:0.8:1,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 0, 3, 33, 60, 258]"
48,B1-REF,6,0,uclust,0.51:0.8:3,0.5451977401129944,0.0,0.2627118644067797,0.192090395480226,"[0, 0, 1, 2, 8, 59, 91, 193]"
49,B1-REF,6,0,uclust,0.51:0.8:5,0.4661016949152542,0.0,0.3389830508474576,0.19491525423728814,"[0, 0, 1, 2, 9, 72, 105, 165]"
50,B1-REF,6,0,uclust,0.51:0.9:1,0.7231638418079096,0.0,0.0,0.2768361581920904,"[0, 0, 0, 0, 4, 34, 60, 256]"
51,B1-REF,6,0,uclust,0.51:0.9:3,0.5621468926553672,0.0,0.24293785310734464,0.19491525423728814,"[0, 0, 0, 2, 6, 58, 89, 199]"
52,B1-REF,6,0,uclust,0.51:0.9:5,0.4943502824858757,0.0,0.2937853107344633,0.211864406779661,"[0, 0, 0, 1, 11, 63, 104, 175]"
53,B1-REF,6,0,uclust,0.76:0.8:1,0.7288135593220338,0.0,0.0,0.2711864406779661,"[0, 0, 0, 0, 3, 33, 60, 258]"
54,B1-REF,6,0,uclust,0.76:0.8:3,0.4293785310734463,0.0,0.519774011299435,0.05084745762711865,"[0, 1, 1, 2, 15, 88, 95, 152]"
