,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
33,B1-REF,1,0,sortmerna,0.76:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
34,B1-REF,1,0,sortmerna,0.76:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
35,B1-REF,1,0,sortmerna,1.0:0.8:1:0.8:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
36,B1-REF,1,0,sortmerna,1.0:0.8:1:0.9:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
37,B1-REF,1,0,sortmerna,1.0:0.8:3:0.8:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
38,B1-REF,1,0,sortmerna,1.0:0.8:3:0.9:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
39,B1-REF,1,0,sortmerna,1.0:0.8:5:0.8:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
40,B1-REF,1,0,sortmerna,1.0:0.8:5:0.9:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
41,B1-REF,1,0,sortmerna,1.0:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
42,B1-REF,1,0,sortmerna,1.0:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
43,B1-REF,1,0,sortmerna,1.0:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
44,B1-REF,1,0,sortmerna,1.0:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
45,B1-REF,1,0,sortmerna,1.0:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
46,B1-REF,1,0,sortmerna,1.0:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
47,B1-REF,1,0,uclust,0.51:0.8:1,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
48,B1-REF,1,0,uclust,0.51:0.8:3,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
49,B1-REF,1,0,uclust,0.51:0.8:5,0.0,0.36363636363636365,0.6363636363636364,0.0,"[7, 4, 0, 0, 0, 0, 0, 0]"
